keywords,sentence
bookshelf decorate room,A small living room with a brightly decorated bookshelf.
look flower color,this is a simple cake with flowers that will match the colors we are looking at .
giraffe enclosure lay,One giraffe standing and another laying down in an enclosure.
morning lapse hill,time lapse behind lake and hill in the morning
paint transform room,how to transform a room with paint
bedroom room share,girls shared room and simple organizational ideas for a small bedroom .
match cricketer country,cricketer of bats during the tour match between xi and uk constituent country .
fill city boat,a city showing the calm harbor filled with commercial fishing boats at sunrise
mall customer browse,customers browse produce at a mall during month .
number express way,we can express a number in different ways .
hiker summit celebrate,hikers who have disease celebrate at the summit .
train track scenery,A train going down a track and there is some grassy scenery.
lap book read,The book the woman is reading is lying on her lap.
uniform ceremony commander,politician and military commander in uniform during an official ceremony
bloom street spring,magnolia blooming in the spring beside street
turbine wind field,wind turbines moving with the wind in a field
broccoli cheese pasta,"A plate of pasta with broccoli, beef, and cheese."
cover building vine,vines covering a building on the campus
day tourist local,tourists and locals at a cool cloudy summer day
clock story building,A building with a large face clock on the second story.
herd elephant savanna,a breeding herd of elephants walking through a savanna .
side clock light,A light mounted above a clock on the side of a wall.
stand tarmac airplane,airplanes stand on the tarmac
kid castle beach talk build,The kid talked about going to the beach to build a sand castle.
row tree road,the road has rows of green trees along
village home province,an old man outside his rustic and squalid wooden home in an isolated mountain village in province
spa home pool,the home has a tennis court and a pool with private spa .
ship look passenger,passenger looking out to sea from the deck of the cruise ship
tile bathroom floor toilet,A white tray on a toilet in bathroom on tiled floor.
street wave flag gather,When the King died everyone in town gathered in the streets and waved their flags.
flower garden summer,end of summer and the flowers and gardens remain in bloom .
clock read tower,A clock reads almost 4 o clock on a tall tower
road home travel,buggy traveling up the road toward home
live building city,this small city where almost everyone lives in the same building can only be reached via longest tunnel
model open eye,young beautiful girl model open her eyes smiling and showing braces on teeth .
harbor ship city,A harbor with dozens of ships in a crowded city
player squad member,football player was a member of the squad
produce table carrot,A variety of produce on a table including carrots.
begin tree grow,the tree begins as a little seed that starts to grow in a small crack of the rock .
home spirit bring,industry for the home brings out style and spirit
locate city south,a city is a touristic town located in the south close to border
beam ray forest,rays of sun light beaming through the mist in a magical misty pine forest
parachute release sky,A man is falling through the sky and then releases his parachute.
crowd mascot match,the mascot throws sweets into the crowd with match .
zoo elephant family,a baby elephant with the family at a zoo
winter stream flow,flowing stream in the winter
travel distance mountain,railway going into the distance to the massive mountains why travel by train
tourist watch specie,tourists watch as a pod of biological species approaches
lid bathroom toilet,bathroom with a toilet with the lid up
